codigo_produto,produto_nome,base_legal,unidade,data_atualizacao
1424,ELETROVÁLVULA DE COMBUSTÍVEL PARA EQUIPAMENTO DE CONVERSÃO DE MOTORES PARA USO DE GÁS NATURAL,Portaria Interministerial MDIC/MCT nº 209 de 3 de dezembro de 2002,UNIDADE,12/07/2024 17:07
1425,MISTURADOR DE COMBUSTÍVEL PARA EQUIPAMENTO DE CONVERSÃO DE MOTORES PARA USO DO GÁS NATURAL,Portaria Interministerial MDIC/MCT nº 209 de 3 de dezembro de 2002,UNIDADE,
1426,VÁLVULA DE CILINDRO PARA EQUIPAMENTO DE CONVERSÃO DE MOTORES PARA USO DE GÁS NATURAL,Portaria Interministerial MDIC/MCT nº 209 de 3 de dezembro de 2002,UNIDADE,05/06/2018 17:06
1427,VÁLVULA DE ABASTECIMENTO PARA EQUIPAMENTO DE CONVERSÃO DE MOTORES PARA USO DE GÁS NATURAL,Portaria Interministerial MDIC/MCT nº 209 de 3 de dezembro de 2002,UNIDADE,05/06/2018 17:06
1429,"INSERTO DO ASSENTO PARA CICLOMOTOR, MOTOCICLETA, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1430,"INSERTO DO PROTETOR DA CANOPLA PARA CICLOMOTOR, MOTOCICLETA, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,
1431,"TRANSFORMADOR ELÉTRICO DE POTÊNCIA NÃO SUPERIOR A 3KVA, COM NÚCLEO DE LÂMINAS DE AÇO SILÍCIO","Portaria Interministerial MDIC/MCTI nº 274, de 29 de novembro de 2012",UNIDADE,05/04/2024 11:04
1432,"TRANSFORMADOR ELÉTRICO DE POTÊNCIA NÃO SUPERIOR A 3KVA, COM NÚCLEO DE PÓ FERROMAGNÉTICO","Portaria Interministerial MDIC/MCTIC nº 29, de 05.06.2018",UNIDADE,17/05/2021 17:05
1433,COQUETEL DE FRUTAS,A ser fixado,LITRO,
1434,DISPOSITIVO PIEZOELÉTRICO DE ONDAS ACÚSTICAS SUPERFICIAIS (DISPOSITIVO SAW),"Portaria Interministerial MDIC/MCT nº 567, de 23 de dezembro de 2003",UNIDADE,27/07/2016 11:07
1435,FILTRO DIELÉTRICO,"Portaria Interministerial MDIC/MCT nº 14, de 29 de janeiro de 2002.",UNIDADE,
1437,MOTONETA ACIMA DE 450 CM3,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 43, de 29 de junho de 2020 e Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 11.577, de 24 de setembro de 2021",UNIDADE,13/06/2024 17:06
1439,MECANISMO DE METAL PARA SOFÁS POLTRONAS E CADEIRAS,"Portaria Interministerial MDIC/MCT nº 143, de 14 de abril de 2003",UNIDADE,
1440,TUBULAÇÃO METÁLICA PARA CONDICIONADORES DE AR,"Portaria Interministerial MDIC/MCT nº 318, de 10 de dezembro de 2004",QUILOGRAMA LÍQUIDO,22/12/2025 17:12
