produto_id,status,n_insumos
1823,vazio,0
1832,vazio,0
1835,vazio,0
1837,vazio,0
1840,vazio,0
1844,vazio,0
1850,vazio,0
1851,vazio,0
1861,vazio,0
1862,vazio,0
1865,vazio,0
1866,vazio,0
1867,vazio,0
1868,vazio,0
1869,vazio,0
1872,vazio,0
1880,vazio,0
1881,vazio,0
1882,vazio,0
1884,vazio,0
1886,vazio,0
1887,vazio,0
1888,vazio,0
1889,vazio,0
1891,vazio,0
1892,vazio,0
1895,vazio,0
1897,vazio,0
1900,vazio,0
1901,vazio,0
1902,vazio,0
1903,vazio,0
1904,vazio,0
1906,vazio,0
1907,vazio,0
1908,vazio,0
1909,vazio,0
1914,vazio,0
1917,vazio,0
1918,vazio,0
1921,vazio,0
1922,vazio,0
1924,vazio,0
1926,vazio,0
1928,vazio,0
1929,vazio,0
1932,vazio,0
1935,vazio,0
1936,vazio,0
1938,vazio,0
1939,vazio,0
1940,vazio,0
1942,vazio,0
1943,vazio,0
1948,vazio,0
1949,vazio,0
1950,vazio,0
1953,vazio,0
1954,vazio,0
1955,vazio,0
1959,vazio,0
1963,vazio,0
1964,vazio,0
1973,vazio,0
1976,vazio,0
1983,vazio,0
1984,vazio,0
1985,vazio,0
1990,vazio,0
1992,vazio,0
1993,vazio,0
2002,vazio,0
2003,vazio,0
2004,vazio,0
2015,vazio,0
2016,vazio,0
2017,vazio,0
2018,vazio,0
2019,vazio,0
2020,vazio,0
2021,vazio,0
2022,vazio,0
2024,vazio,0
2025,vazio,0
2026,vazio,0
2032,vazio,0
2034,vazio,0
2036,vazio,0
2037,vazio,0
2042,vazio,0
2043,vazio,0
2045,vazio,0
2050,vazio,0
2061,vazio,0
2062,vazio,0
2063,vazio,0
2064,vazio,0
2069,vazio,0
2070,vazio,0
2071,vazio,0
2073,vazio,0
2074,vazio,0
2075,vazio,0
2076,vazio,0
2079,vazio,0
2082,vazio,0
2084,vazio,0
2085,vazio,0
2087,vazio,0
2089,vazio,0
2090,vazio,0
2091,vazio,0
2092,vazio,0
2096,vazio,0
2098,vazio,0
2104,vazio,0
2107,vazio,0
2108,vazio,0
2109,vazio,0
2110,vazio,0
2112,vazio,0
2113,vazio,0
2115,vazio,0
2116,vazio,0
2124,vazio,0
2126,vazio,0
